系统ID	表ID	表名	表中文名	表说明	FType	FSefDefSign
0	42	t_ObjectRefs	对象参考表	对象参考	1	0
0	43	t_SystemEnum	系统枚举表	系统枚举	1	0
0	44	t_TableDescription	万能报表表描述表	万能报表表描述	1	0
0	45	t_UserDefineRpt	万能报表用户定义表	万能报表用户定义	1	0
0	46	t_FieldDescription	万能报表字段描述表	万能报表字段描述	1	0
0	47	t_SonCompany	分支机构	分支机构	0	0
0	48	t_VoucherTplType	凭证事务表	凭证事务表	0	0
0	49	t_LedgerPageSetup	Ldg页面设置表	Ldg页面设置表	1	0
0	50	t_Organization	客户表	客户资料	0	0
0	51	t_Kds_Report	二次开发平台报表	存放二次开发平台的报表	1	0
0	52	t_Kds_ReportClass	报表类别	报表存放的类别	1	0
0	53	t_Kds_ReportRight	报表权限	指定用户对报表的权限	1	0
0	54	t_Fee	费用表	费用	0	0
0	55	t_StockPlace	仓位表	仓位	0	0
0	56	SHWorkBill	工序计划单	工序计划单	0	0
0	57	SHWorkBillEntry	工序计划单分录	工序计划单分录	0	0
0	58	ICitemScrap	生产物料报废单	生产物料报废单	0	0
0	59	ICitemScrapEntry	生产物料报废单分录	生产物料报废单分录	0	0
0	60	t_Item	基础资料主表	基础资料主表	0	0
0	61	t_ICItemCustom	物料表	 	0	1
1	10000	t_AccountCheck	科目权限表	科目权限表	0	0
1	10001	T_AcctGroup	科目类别表	科目类别表	0	0
1	10002	t_AutoTransfer	自动转账表	自动转账表	0	0
1	10003	t_AutoTransferEntry	自动转账分录表	自动转账分录表	0	0
1	10004	t_Balance	科目余额表	科目余额表	0	0
1	10005	t_FuncControl	网络控制表	网络控制表	0	0
1	10006	t_GLCdBalItem	方案条件表	方案条件表	0	0
1	10007	t_GLfilterBalItem	显示项目表	显示项目表	0	0
1	10008	t_GLFilterItem	预定项目表	预定项目表	0	0
1	10009	t_GLFilterNameItem	方案名称表	方案名称表	0	0
1	10010	t_GLsortBalItem	排序表	排序表	0	0
1	10011	t_GLSumBalItem	汇总表	汇总表	0	0
1	10012	t_ItemDetailV	核算项目使用详情纵表	核算项目使用详情纵表	0	0
1	10013	t_LastContactDate	往来初始化日期表	往来初始化日期表	0	0
1	10014	t_MultiColumn	多栏账对应列表	多栏账对应列表	0	0
1	10015	t_MultiColumnLedger	多栏账表	多栏账表	0	0
1	10016	t_MultiSubColumn	多栏账对应列币别表	多栏账对应列币别表	0	0
1	10017	t_Note	套打表	套打表	0	0
1	10018	t_ProfitAndLoss	损益科目本年实际发生额	损益科目本年实际发生额	0	0
1	10019	t_QuantityBalance	数量余额表	数量余额表	0	0
1	10020	t_RateAdjust	汇率调整表	汇率调整表	0	0
1	10021	t_subsys	期末处理表	期末处理表	0	0
1	10022	t_SysFunction	系统功能表	系统功能表	0	0
1	10023	t_VoucherEntryTemplate	模式凭证分录表	模式凭证分录表	0	0
1	10024	t_VoucherExp	凭证摘要表	凭证摘要表	0	0
1	10025	t_VoucherExpGroup	凭证摘要组表	凭证摘要组表	0	0
1	10026	t_VoucherGroupCheck	凭证字权限表	凭证字权限表	0	0
1	10027	t_VoucherTemplate	模式凭证表	模式凭证表	0	0
1	10028	t_VoucherTemplateType	模式凭证类别表	模式凭证类别表	0	0
1	10029	t_CashFlowBal	现金流量数据表	现金流量数据表	0	0
1	10030	t_TransCheckInfo	往来业务核销对照信息表	往来业务核销对照信息表	0	0
1	10031	t_TransInitBalance	往来业务初始余额表	往来业务初始余额表	0	0
1	10032	t_SubSystem	子系统登记表	子系统登记表	0	0
1	10033	t_ItemDetail	核算项目使用详情横表	核算项目使用详情横表	0	0
1	10034	t_Budget	预算表	预算表	0	0
1	10035	t_ItemUsedRight	项目操作授权表	项目操作授权表	0	0
1	10036	t_VoucherTemplateType	模式凭证类别表	模式凭证类别表	0	0
1	10037	t_CashFlowBal	现金流量数据表	现金流量数据表	0	0
1	10038	t_TransCheckInfo	往来业务核销对照信息表	往来业务核销对照信息表	0	0
1	10039	t_TransInitBalance	往来业务初始余额表	往来业务初始余额表	0	0
1	10040	t_VoucherBlankOut	作废凭证表	存储已作废的凭证	0	0
1	10041	t_AutoTransferEntryItem	转账凭证核算项目信息表	转账凭证核算项目信息表	0	0
1	10042	t_AutoTransferScheme	自动转账方案	自动转账方案	0	0
1	10043	t_GlAutoCreateVch	凭证预提摊销方案表	凭证预提摊销方案表	0	0
1	10044	t_GlAutoSetPeriod	凭证预提摊销期间设定表	凭证预提摊销期间设定表	0	0
1	10045	t_GlAutoVchAcct	凭证预提摊销科目表	凭证预提摊销科目表	0	0
1	10046	t_GlContrast	内部凭证协同对方内部往来表	内部凭证协同对方内部往来表	0	0
1	10047	t_GlContrastRelative	内部往来凭证协同勾稽表	内部往来凭证协同勾稽表	0	0
1	10048	t_GLCussent	内部往来凭证协同我方往来表	内部往来凭证协同我方往来表	0	0
1	10049	t_VoucherGroupNote	套打凭证模板表	套打凭证模板表	0	0
2	20001	t_PA_BankName	银行信息表	银行信息表	0	0
2	20002	t_PA_Department	工资部门表	工资部门表	0	0
2	20003	t_PA_FundFieldDesc	基金自定义字段描述表	基金自定义字段描述表	0	0
2	20004	t_PA_FundSet	基金类型定义表	基金类型定义表	0	0
2	20005	t_PA_HrOrg	工资类别组织单元对应表	工资类别组织单元对应表	0	0
2	20006	t_PA_Item	工资基础项目表	工资基础项目表	0	0
2	20007	t_PA_ItemClass	工资基础项目类别表	工资基础项目类别表	0	0
2	20008	t_PA_ItemClsV	工资类别对应核算项目表	工资类别对应核算项目表	0	0
2	20009	t_PA_ItemPropDesc	工资自定义项目字段信息表	工资自定义项目字段信息表	0	0
2	20010	t_PA_ItemRef	工资职员附加信息表	工资职员附加信息表	0	0
2	20011	t_PA_ItemRefType	工资职员附加信息类别表	工资职员附加信息类别表	0	0
2	20012	T_PA_pama	工资类别表	工资类别表	0	0
2	20013	t_PA_Personal	工资职员表	工资职员表	0	0
2	20014	T_PA_personPChs	工资职员变动资料表	工资职员变动资料表	0	0
2	20015	t_PA_taxdata	所得税分录表	所得税分录表	0	0
2	20016	t_PA_taxinit	所得税初始设置	所得税初始设置	0	0
2	20017	t_PA_taxPAItem	所得项目表	所得项目表	0	0
2	20018	t_PA_taxPAItemRef	所得项目计算附加表	所得项目计算附加表	0	0
2	20019	t_PA_taxpama	工资所得税税率类别表	工资所得税税率类别表	0	0
2	20020	t_PA_taxpamaRef	所得税税率表	所得税税率表	0	0
2	20021	t_PABankPayFile	工资系统预留一表	工资系统预留一表	0	0
2	20022	t_PACyPlot	工资配款表	工资配款表	0	0
2	20023	t_PACyPlotRef	工资配款参考表	工资配款参考表	0	0
2	20024	t_PADisRate	工资分配方式表	工资分配方式表	0	0
2	20025	t_PADistribute	工资分配表	工资分配表	0	0
2	20026	t_PAEmpFilter	工资过虑器条件表	工资过虑器条件表	0	0
2	20027	t_PAFilter	工资过虑器表	工资过虑器表	0	0
2	20028	t_PAFilterItem	工资过虑器包含的项目表	工资过虑器包含的项目表	0	0
2	20029	t_PAFilterPama	工资类别过滤方案	工资类别过滤方案	0	0
2	20030	t_PAFormula	工资核算公式表	工资核算公式表	0	0
2	20031	t_PAFund_Balance	基金余额表	基金余额表	0	0
2	20032	t_PAFund_CalcChange	基金计提变动情况表	基金计提变动情况表	0	0
2	20033	t_PAFund_CalcScheme	基金计提方案表	基金计提方案表	0	0
2	20034	t_PAFund_CalcSchemeDetail	基金计提方案明细表	基金计提方案明细表	0	0
2	20035	t_PAFund_CalcSet	基金计提标准定义表	基金计提标准定义表	0	0
2	20036	t_PAFund_Data	基金发生额表	基金发生额表	0	0
2	20037	t_PAFund_InOut	基金转入转出发生额表	基金转入转出发生额表	0	0
2	20038	t_PAFundCalcFilterItem	基金类型过滤条件关联表	基金类型过滤条件关联表	0	0
2	20039	t_PAFundTypeFilterItem	基金计提方案过滤条件关联表	基金计提方案过滤条件关联表	0	0
2	20040	t_PAItem	自定义职员工资项目表	自定义职员工资项目表	0	0
2	20041	T_PAItemCls	自定义职员工资项目类别表	自定义职员工资项目类别表	0	0
2	20042	t_PaItemRight	工资基础资料权限表	工资基础资料权限表	0	0
2	20043	t_PANewData	工资数据表	工资数据表	0	0
2	20044	t_PANewDataIDs	工资历史数据表	工资历史数据表	0	0
2	20045	t_PANoteItem	打印设置表	打印设置表	0	0
2	20046	t_PASortItem	工资过虑条件排序表	工资过虑条件排序表	0	0
2	20047	t_PATrans	工资系统预留二表	工资系统预留二表	0	0
2	20048	t_PaZeroSet	工资扣零设置表	工资扣零设置表	0	0
3	30000	t_FAAlterMode	变动方式表	变动方式表	0	0
3	30001	t_FAGroup	资产类别表	资产类别表	0	0
3	30002	t_FAStatus	使用状态表	使用状态表	0	0
3	30003	t_FALocation	存放地点表	存放地点表	0	0
3	30004	t_FAEconomyUse	经济用途表	经济用途表	0	0
3	30005	t_FACardItemDefine	卡片项目定义表	存储卡片自定义项目的各项属性	0	0
3	30006	t_FAGroupItem	类别项目对照表	存储固定资产类别与自定义项目之间的对应关系	0	0
3	30007	t_FADeprMethod	折旧方法定义表	存储预设的和用户自定义的折旧方法	0	0
3	30008	t_FaDeprFormulaItems	折旧公式项目表	存储在折旧公式中用到的卡片项目	0	0
3	30009	t_FAUserDeprRate	每期自定义折旧率表	存储自定义折旧方法的每期折旧率	0	0
3	30010	t_FAAlter	变动基本表	存储卡片变动信息	0	0
3	30011	t_FACard	卡片表	存储卡片基本信息	0	0
3	30012	t_FADevice	附属设备表	存储卡片附属设备信息	0	0
3	30013	t_FAOrgFor	原值原币表	存储卡片原值原币信息	0	0
3	30014	t_FADept	部门分配表	存储卡片的部门分配信息	0	0
3	30015	t_FAExpense	折旧费用分配表	折旧费用分配到科目、核算项目的情况	0	0
3	30016	t_FACardItem	卡片自定义项目表	存储卡片的各自定义项目的值，字段数动态增长	0	0
3	30017	t_FABalance	余额表	余额信息主表，与变动表t_FaAlter相对应	0	0
3	30018	t_FABalCard	卡片每期状况表	卡片的基本余额信息	0	0
3	30019	t_FABalDevice	附属设备每期状况表	卡片的附属设备的余额信息	0	0
3	30020	t_FABalOrgFor	原值原币每期状况表	卡片的原值原币的余额信息	0	0
3	30021	t_FABalDept	部门每期分配情况表	每期的部门分配情况	0	0
3	30022	t_FABalExpense	折旧费用每期分配情况表	每期的折旧费用分配情况	0	0
3	30023	t_FABalCardItem	卡片自定义项目每期状况表	卡片自定义项目每一期的值	0	0
3	30024	t_FAClear	报废清理表	记录卡片报废清理情况	0	0
3	30025	t_FAVoucher	凭证对照表	存储卡片变动信息与生成的凭证之间的对应关系	0	0
3	30026	t_FARptSheetSchemeItems	固定资产清单显示方案表	存储用户设置的固定资产清单的显示方案	0	0
3	30027	t_FASchemes	显示方案表	存储除固定资产清单外其它地方用到的显示方案	0	0
3	30028	t_FASchmFilter	过滤条件表	存储显示方案中的过滤条件	0	0
3	30029	t_FASchmOption	选项设置表	存储显示方案中的选项设置	0	0
3	30030	t_FASchmSort	索引条件表	存储显示方案中的索引条件	0	0
3	30031	t_FASchmSumItems	汇总项目表	存储显示方案中的汇总项目（除清单以外的报表用到）	0	0
3	30032	t_FACardMulAlter	多次变动基本表	存储卡片多次变动信息	0	0
3	30033	t_FADeptMulAlter	部门多次变动表	存储卡片多次变动时部门分配信息	0	0
3	30034	t_FADeviceMulAlter	附属设备多次变动表	存储卡片多次变动时附属设备信息	0	0
3	30035	t_FAExpenseDetailMulAlter	折旧费用分配明细多次变动表	存储卡片多次变动时折旧费用分配明细信息	0	0
3	30036	t_FAExpenseMulAlter	折旧费用分配多次变动表	存储卡片多次变动时折旧费用分配信息	0	0
3	30037	t_FAOrgForMulAlter	原值原币多次变动表	存储卡片多次变动时原值原币信息	0	0
3	30038	t_FADeviceBill	检修单据表	 	0	0
3	30039	t_FADeviceItem	单据自定义项目表	 	0	0
3	30040	t_FADeviceItemDefine	单据项目定义表	单据项目定义表	0	0
3	30041	t_FADeviceGroupItem	检修单中类别项目对照表	存储检修单中固定资产类别同自定义项目对应关系	0	0
3	30042	t_FABalPurchase	修购基金余额表	修购基金余额表	0	0
3	30043	t_FAPurchase	修购基金表	修购基金表	0	0
3	30044	t_FAPurchaseDetailMulAlter	修购基金多次变动明细表	修购基金多次变动明细表	0	0
3	30045	t_FAPurchaseMulAlter	修购基金多次变动表	修购基金多次变动表	0	0
3	30046	t_FAImage	自定义项目图片表	自定义项目图片表	0	0
3	30047	t_FaTmpCard	卡片暂存表	存放暂存卡片	0	0
4	40000	cn_account	科目表	科目表	0	0
4	40001	cn_Bill_ChequeStatus	支票状态表	支票状态表	0	0
4	40002	cn_Bill_ChequeVolume	支票购置表	支票购置表	0	0
4	40003	cn_Bill_Endorse	背书信息表	背书信息表	0	0
4	40004	cn_xjpd	现金盘点单主表	现金盘点单主表	0	0
4	40005	cn_xjpd_detail	现金盘点单明细表	现金盘点单明细表	0	0
4	40006	cn_yhdzd	银行对账单表	银行对账单表	0	0
4	40007	cn_yhdzd_ImportDesign	银行对账单引入方案表	银行对账单引入方案表	0	0
4	40008	cn_lcye	年初余额表	年初余额表	0	0
4	40009	cn_combineKm	综合币科目表	综合币科目表	0	0
4	40010	cn_Bill	票据表	票据表	0	0
4	40011	cn_Bill_Cheque	支票表	支票表	0	0
4	40012	cn_yhdzd_ImportDesign	银行对账单引入方案表	银行对账单引入方案表	0	0
4	40013	cn_yhrjz	银行存款日记账	银行存款日记账	0	0
4	40014	cn_yhrjz	银行存款日记账	银行存款日记账	0	0
4	40015	cn_lsz_lcye	现金流水账余额表	现金流水账余额表	0	0
4	40016	cn_xjlsz	现金流水账	现金流水账	0	0
4	40017	cn_BillType	票据类别表	票据类别表	0	0
4	40018	cn_xjrjz	现金日记账表	现金日记账表	0	0
5	50000	STInvoice	销售发票	销售发票表头	0	0
5	50001	STInvoiceDetail	销售发票分录表	销售发票表体	0	0
5	50002	t_rp_ARBillOfSH	收款单	收款单	0	0
5	50003	t_RP_Bill	应收应付票据表	FRP=1-应收：FRP=0-应付	0	0
5	50004	t_rp_bill_discount	应收票据贴现	保存每张票据贴现情况记录	0	0
5	50005	t_RP_Bill_Endorse	应收票据背书	对应的应收票据背书记录	0	0
5	50006	t_RP_Bill_Settle	应收、应付票据的结算表	票据结算记录	0	0
5	50007	t_RP_Bill_Transfer	应收票据转让	票据转出记录	0	0
5	50008	t_RP_BillNumber	票据号码表	保存最新的票据号码	0	0
5	50009	t_Rp_CheckDetail	核销明细	每次核销前的金额及核销后的余额	0	0
5	50010	t_rp_CheckEntry	存货核销表	对存货核销的的数量与金额记录	0	0
5	50011	t_RP_Contact	应收、应付往来表	往来账明细表。FRP=1-应收：FRP=0-应付	0	0
5	50012	t_RP_ContactBal	往来余额表	往来账余额表。FRP=1-应收：FRP=0-应付	0	0
5	50013	t_RP_NewBadDebt	坏账备查簿	1	0	 
5	50014	t_RP_NewCheckInfo	核销日志	核销业务详细记录。FRP=1-应收：FRP=0-应付	0	0
5	50015	t_RP_NewReceiveBill	收款单	收款单	0	0
5	50016	t_RPAgeGroup	账龄分组表	账龄期间表	0	0
5	50017	t_RPAssure	担保信息表	担保资料。FRP=1-应收：FRP=0-应付	0	0
5	50018	t_rp_BegData	应收应付账期初数据	FRP=1-应收：FRP=0-应付	0	0
5	50019	t_RPContract	合同表	合同资料。FRP=1-应收：FRP=0-应付	0	0
5	50020	t_RPContractDetail	合同已收款明细表	合同收款资料。FRP=1-应收：FRP=0-应付	0	0
5	50021	t_RPContractScheme	收款计划明细表	合同收款计划资料。FRP=1-应收：FRP=0-应付	0	0
5	50022	t_rp_BillFore	票据前手表	票据附加前手列表（入账的前手在票据表中）	0	0
5	50023	t_rp_BillFreeItem	单据自由项表	单据自由项	0	0
5	50024	t_rp_BegDataEntry	期初发票明细表	期初发票存货分录	0	0
5	50025	t_rp_BadPrepare	坏账计提明细表	坏账计提明细表	0	0
5	50026	t_rp_Exchange	收款单分录	收款单分录	0	0
5	50027	t_RP_SystemEnum	系统枚举类型	系统枚举类型	0	0
5	50028	t_RP_SystemProfile	系统参数表	系统参数表	1	0
5	50029	t_RPBillDeal	票据处理信息	票据处理信息	1	0
5	50030	t_rpContractEntry	合同分录表	合同分录表	0	0
5	50031	t_RPVoucherAndBill	单据凭证对应表	单据凭证对应表	1	0
5	50032	t_RP_BadCustInfo	账龄分析法时按客户保存表	账龄分析法时按客户保存表	0	0
5	50033	t_RP_NewBadDebtEntry	坏账备查簿明细表	坏账发生及收回情况表	1	0
5	50034	t_rp_AdjustAccount	调汇科目汇总表	调汇科目汇总表	0	0
5	50035	t_rp_AdjustRate	 	 	1	0
5	50036	t_rp_AdjustRateEntry	调汇表体	调汇表体	1	0
5	50037	t_rp_PayApplyBillEntry	付款申请单分录	付款申请单分录	0	0
6	50038	t_RP_Plan_Ar	其它应收单分录	其它应收单分录	0	0
5	50039	t_RP_Plan_Ap	其它应付单分录	其它应付单分录	0	0
5	50040	t_RP_ARPBill	其它应收单	其它应收单	0	0
5	50041	t_rp_Exchange	多币别换算表	1000005	0	0
5	50042	t_rp_arpbillEntry	其它应收单	其它应收单	0	0
6	60000	t_RP_ARPBill	其它应付单	其它应付单	0	0
6	60001	t_rp_PayApplyBill	付款申请单	付款申请单	0	0
6	60002	ICPurBill	采购发票	采购发票表头	0	0
6	60003	ICPurEntry	采购发票分录	采购发票表体	0	0
6	60004	t_rp_ARBillOfSH	付款单	付款单	0	0
6	60005	t_RP_Bill	应收应付票据表	FRP=1-应收：FRP=0-应付	0	0
6	60006	t_rp_bill_discount	应收票据贴现	保存每张票据贴现情况记录	0	0
6	60007	t_RP_Bill_Settle	应收、应付票据的结算表	票据结算记录	0	0
6	60008	t_RP_Bill_Transfer	应收票据转让	票据转出记录	0	0
6	60009	t_RP_BillNumber	票据号码表	保存最新的票据号码	0	0
6	60010	t_Rp_CheckDetail	核销明细	每次核销前的金额及核销后的余额	0	0
6	60011	t_rp_CheckEntry	存货核销表	对存货核销的的数量与金额记录	0	0
6	60012	t_RP_Contact	应收、应付往来表	往来账明细表。FRP=1-应收：FRP=0-应付1-应收：FRP=1-应收：FRP=0-应付0-应付	0	0
6	60013	t_RP_ContactBal	往来余额表	往来账余额表。FRP=1-应收：FRP=0-应付1-应收：FRP=1-应收：FRP=0-应付0-应付	0	0
6	60014	t_RP_NewCheckInfo	核销日志	核销业务详细记录。FRP=1-应收：FRP=0-应付1-应收：FRP=1-应收：FRP=0-应付0-应付	0	0
6	60015	t_RPAgeGroup	账龄分组表	账龄期间表	0	0
6	60016	t_RPAssure	担保信息表	担保资料。FRP=1-应收：FRP=0-应付	0	0
6	60017	t_rp_BegData	应收应付账期初数据	FRP=1-应收：FRP=0-应付	0	0
6	60018	t_RPContract	合同表	合同资料。FRP=1-应收：FRP=0-应付	0	0
6	60019	t_RPContractDetail	合同已收款明细表	合同收款资料。FRP=1-应收：FRP=0-应付	0	0
6	60020	t_RPContractScheme	收款计划明细表	合同收款计划资料。FRP=1-应收：FRP=0-应付	0	0
6	60021	t_rp_BillFore	票据前手表	票据附加前手列表（入账的前手在票据表中）	0	0
6	60022	t_rp_BillFreeItem	单据自由项表	单据自由项	0	0
6	60023	t_rp_BegDataEntry	期初发票明细表	期初发票存货分录	0	0
6	60024	t_RP_SystemEnum	系统枚举类型	系统枚举类型	0	0
6	60025	t_RP_SystemProfile	系统参数表	系统参数表	1	0
6	60026	t_RPBillDeal	票据处理信息	票据处理信息	1	0
6	60027	t_rpContractEntry	合同分录表	合同分录表	0	0
6	60028	t_RPVoucherAndBill	单据凭证对应表	单据凭证对应表	1	0
6	60029	ICPurBill	采购发票	采购发票表头	0	0
6	60030	t_RP_NewBadDebt	坏账备查簿	 	1	0
6	60031	t_RP_NewBadDebtEntry	坏账备查簿明细表	坏账发生及收回情况表	1	0
6	60032	t_rp_AdjustAccount	调汇科目汇总表	调汇科目汇总表	0	0
6	60033	t_rp_AdjustRate	 	 	1	0
6	60034	t_rp_AdjustRateEntry	调汇表体	调汇表体	0	0
6	60035	t_rp_arpbillEntry	其它应收单	其它应收单	0	0
6	60036	t_RP_NewReceiveBill	付款单	付款单	0	0
6	60037	t_rp_Exchange	付款单分录	付款单分录	0	0
7	70000	t_Rpt_Content	自定义报表	自定义报表	1	0
7	70001	t_Rpt_Leaderaudit	报表审批信息表	报表审批信息表	1	0
7	70002	t_Rpt_MultiAcct	多账套设置表	多账套设置表	1	0
7	70003	t_Rpt_MultiAcctEntry	账套信息表	账套信息表	1	0
7	70004	t_Rpt_MultiAcctRight	账套授权信息表	账套授权信息表	1	0
7	70005	t_Rpt_Profile	报表参数设置表	报表参数设置表	1	0
7	70006	t_Rpt_PropClass	报表属性类别表	报表属性类别表	1	0
7	70007	t_Rpt_PropItem	报表类别项目表	报表类别项目表	1	0
7	70008	t_Rpt_Right	报表授权信息表	报表授权信息表	1	0
7	70009	t_Rpt_View	报表视图设置表	报表视图设置表	1	0
7	70010	t_Rpt_LeaderAudit2	报表审批信息表	报表审批信息表	0	0
7	70011	t_Rpt_MultiAcct2	多账套设置表	多账套设置表	0	0
7	70012	t_Rpt_MultiAcctEntry2	账套信息表	账套信息表	0	0
7	70013	t_Rpt_MultiAcctRight2	账套授权信息表	账套授权信息表	0	0
7	70014	t_Rpt_Profile2	报表参数设置表	报表参数设置表	0	0
7	70015	t_Rpt_PropClass2	报表属性类别表	报表属性类别表	0	0
7	70016	t_Rpt_PropItem2	报表类别项目表	报表类别项目表	0	0
7	70017	t_Rpt_Right2	报表授权信息表	报表授权信息表	0	0
7	70018	t_Rpt_View2	报表视图设置表	报表视图设置表	0	0
7	70019	t_Rpt_CalcScheme	报表重算方案	报表重算方案	0	0
7	70020	t_RPT_EISDOC	EIS文档发布表	EIS文档发布表	0	0
7	70021	t_Rpt_PrintScheme	报表打印方案表	报表打印方案表	0	0
7	70022	t_Rpt_PrintSchemeDetail	报表打印方案明细表	报表打印方案明细表	0	0
7	70023	t_Rpt_Content2	二次开发平台报表分析报表内容表	二次开发平台报表分析报表内容表	0	0
7	70024	t_Rpt_Class	报表类别表	报表类别表	0	0
7	70025	t_Rpt_ClassItem	报表类别项目表	报表类别项目表	0	0
9	90000	T_CFAcct	现金科目表	现金科目表	0	0
9	90001	T_CFAnal	凭证分录表	凭证分录表	0	0
9	90002	T_CFInfo	凭证表	凭证表	0	0
9	90003	T_CFItem	报表项目表	报表项目表	0	0
9	90004	T_CFSet	报表方案集	报表方案集	0	0
10	100000	t_Acnt	账号表	账号基础信息如开户日期、利率、结算等	0	0
10	100001	t_scAccumulation	积数表	积数	0	0
10	100002	t_scAgeGroup	资金账龄分组表	资金账龄分组	0	0
10	100003	t_scConsign	软盘托收表	托收总金额、总笔数等	0	0
10	100004	t_scConsignEntry	软盘托收分录表	软盘托收分录	0	0
10	100005	t_scIntDpst	活期利息表	活期计息明细信息	0	0
10	100006	t_scIntLoan	贷款利息表	贷款计息明细信息，包括罚息	0	0
10	100007	t_scIntLoanConsign	委托贷款利息表	委托贷款明细信息，包括手续费、罚息等	0	0
11	100008	t_scIntLoanConsign	委托贷款利息表	委托贷款明细信息，包括手续费、罚息等	1	1
10	100009	t_scIntRateAdjLoan	贷款利率调整表	贷款利率调整信息	0	0
10	100010	t_scIntStat	定期利息表	定期计息明细信息	0	0
10	100011	t_scLoan	贷款表	贷款基础信息如贷款金额、日期、合同、担保等	0	0
10	100012	t_scOuterClient	外部单位登记表	外部单位名称、账号等	0	0
10	100013	t_scPurpose	用途表	用途	0	0
10	100014	t_scRtLoan	贷款还款表	贷款还款信息	0	0
10	100015	t_scRtStat	定期存款解活表	定期存款解活明细信息	0	0
10	100016	t_scStat	定期存款表	定期存款基础信息，包括续存	0	0
10	100017	t_scInSett	内部结算单表	内部结算单	0	0
10	100018	t_scRecSett	收款单表	收款单	0	0
10	100019	t_scPay	贷款计划表	贷款计划	0	0
10	100020	t_AcntGroup	账号分类表	账号分类,如定期、活期等	0	0
10	100021	t_scDiscount	票据贴现表	票据贴现	0	0
10	100022	t_scGuarantee	贷款担保合同表	贷款担保合同	0	0
10	100023	t_scIntDpstDetail	活期利息明细表	活期利息明细	0	0
10	100024	t_scIntLdgDpst	活期利息报表	活期利息报表	0	0
10	100025	t_scIntLdgLoan	贷款利息报表	贷款利息报表	0	0
10	100026	t_scIntLoanConsignDetail	委贷利息明细表	委贷利息明细	0	0
10	100027	t_scIntLoanConsignVerify	委贷利息核销表	委贷利息核销	0	0
10	100028	t_scIntLoanDetail	贷款利息明细表	贷款利息明细	0	0
10	100029	t_scIntLoanVerify	贷款利息核销表	贷款利息核销	0	0
10	100030	t_scIntRateAdjHand	手续费率调整表	手续费率调整	0	0
10	100031	t_scLoanDueGroup	贷款逾期查询分组表	贷款逾期查询分组	0	0
10	100032	t_scReport	报表名称表	报表名称	0	0
10	100033	t_scLoanExt	贷款展期表	贷款展期	0	0
10	100034	t_scReportGroup	报表组名称表	报表组	0	0
10	100035	t_scNotifyBill	通知单表	通知单	0	0
10	100036	t_scPaySett	付款单表	付款单	0	0
